citeKey	type	author	title	date
gnadt_faktoren_2017	techreport	Gnadt, Timo and Schmitt, Viola E. and Stiller, Juliane and Thoden, Klaus	Faktoren und {Kriterien für den {Impact von {DH-{Tools und {Infrastrukturen	NA
klimpel_forschen_2015	techreport	Klimpel, Paul and Weitzmann, John H.	Forschen in der digitalen {Welt. {Juristische {Handreichung für die {Geisteswissenschaften	NA
mccarty_humanities_2005	book	McCarty, Willard	Humanities computing	NA
beer_interdisciplinary_2014	techreport	Beer, Nikolaos and Herold, Kristin and Kolbmann, Wibke and Kollatz, Thomas and Romanello, Matteo and Rose, Sebastian and Walkowski, Niels-Oliver	Interdisciplinary {Interoperability	NA
collar_networks_2015	article	Collar, Anna and Coward, Fiona and Brughmans, Tom and Mills, Barbara J.	Networks in {Archaeology: {Phenomena {Abstraction {Representation	NA
schoch_quantitative_2013	techreport	Schöch, Christof and Jannidis, Fotis	Quantitative {Text {Analysis for {Literary {History – {Report on a {DARIAH-{DE {Expert {Workshop	NA
best_surface_nodate	article	Best, Stephen and Marcus, Sharon	Surface {Reading: {An {Introduction	NA
aurast_big_2016	article	Aurast, Anna and Gradl, Tobias and Pernes, Stefan and Pielström, Steffen	Big {Data und {Smart {Data in den {Geisteswissenschaften	NA
pugin_map_2007	inproceedings	Pugin, Laurent and Burgoyne, J. A. and Fujinaga, I.	{MAP {Adaptation to {Improve {Optical {Music {Recognition of {Early {Music {Documents {Using {Hidden {Markov {Models	NA
haaf_measuring_2013	article	Haaf, Susanne and Wiegand, Frank and Geyken, Alexander	Measuring the {Correctness of {Double-{Keying: {Error {Classification and {Quality {Control in a {Large {Corpus of {TEI-{Annotated {Historical {Text	NA
pugin_optical_2006	inproceedings	Pugin, Laurent	Optical {Music {Recognition of {Early {Typographic {Prints using {Hidden {Markov {Models	NA
rebelo_optical_2012	article	Rebelo, Ana and Fujinaga, Ichiro and Paszkiewicz, Filipe and Marcal, Andre R. S. and Guedes, Carlos and Cardoso, Jamie S.	Optical music recognition: state-of-the-art and open issues	NA
pugin_reducing_2007	inproceedings	Pugin, Laurent and Burgoyne, J. A. and Fujinaga, I.	Reducing {Costs for {Digitising {Early {Music with {Dynamic {Adaptation	NA
nadeau_survey_2007-1	article	Nadeau, David and Sekine, Satoshi	A survey of named entity recognition and classification	NA
czmiel_adaquate_2003-1	phdthesis	Czmiel, Alexander	Adäquate {Markupsysteme für die digitale {Behandlung altägyptischer {Texte	NA
schrader_xml-datenformat_2007	phdthesis	Schräder, Gregor	Ein {XML-{Datenformat zur {Repräsentation kritischer {Musikedition unter besonderer {Berücksichtigung von {Neumennotation	NA
kazama_exploiting_2007	inproceedings	Kazama, Jun'ichi and Torisawa, Kentaro	Exploiting {Wikipedia as {External {Knowledge for {Named {Entity {Recognition	NA
galina_introduccion_2007	book	Galina, Isabel and Ordoñez, C.	Introducción a la edición digital	NA
tjong_kim_sang_introduction_2003	inproceedings	Tjong Kim Sang, Erik F. and De Meulder, Fien	Introduction to the {CoNLL-2003 shared task: language-independent named entity recognition	NA
stapelfeldt_islandora_2013	article	Stapelfeldt, Kirsta and Moses, Donald	Islandora and {TEI: {Current and {Emerging {Applications/{Approaches	NA
gorz_kognitive_2007	article	Görz, Günther	Kognitive {Karten des {Mittelalters: {Digitale {Erschließung mittelalterlicher {Weltkarten.	NA
kepper_musikedition_2011	book	Kepper, Johannes	Musikedition im {Zeichen neuer {Medien : historische {Entwicklung und gegenwärtige {Perspektiven musikalischer {Gesamtausgaben	NA
waltman_unified_2010-1	article	Waltman, Ludo and van Eck, Nees Jan and Noyons, Ed C.M.	A unified approach to mapping and clustering of bibliometric networks	NA
stewart_charles_2003	article	Stewart, Larry L.	Charles {Brockden {Brown: {Quantitative {Analysis and {Literary {Interpretation	NA
schier_cid_1995	book	NA	{CID. {Computergestützte {Interpretationen von {Detektivromanen	NA
jacomy_forceatlas2_2014	article	Jacomy, Mathieu and Venturini, Tommaso and Heymann, Sebastien and Bastian, Mathieu	{ForceAtlas2 a {Continuous {Graph {Layout {Algorithm for {Handy {Network {Visualization {Designed for the {Gephi {Software	NA
leroux_notion_2012	article	Leroux, Jean	La notion de modèle en philosophie des sciences	NA
gelman_lets_2002	article	Gelman, Andrew and Pascarica, Cristian and Dodhia, Rahul	Lets practice what we preach: {Turning tables into graphs	NA
king_making_2000	article	King, Gary and Tomz, Michael	Making the {Most of {Statistical {Analyses: {Interpretation and {Presentation	NA
noack_modularity_2009	article	Noack, Andreas	Modularity clustering is force-directed layout	NA
shneiderman_eyes_1996	inproceedings	Shneiderman, Ben	The {Eyes {Have {It: {A {Task by {Data {Type {Taxonomy for {Information {Visualizations	NA
mccarty_residue_2012	inproceedings	McCarty, Willard	The residue of uniqueness	NA
card_structure_1997	inproceedings	Card, Stuart K. and Mackinlay, Jock	The {Structure of the {Information {Visualization {Design {Space	NA
chaney_visualizing_2012	inproceedings	Chaney, Allison and Blei, David M.	Visualizing {Topic {Models	NA
kelleher_changing_2011	techreport	Kelleher, Margaret and Hoogland, Eva	Changing {Publication {Practices in the {Humanities.	NA
fitzpatrick_commentpress_2007	article	Fitzpatrick, Kathleen	{CommentPress: {New ({Social) {Structures for {New ({Networked) {Texts	NA
noauthor_commission_2012	techreport	NA	Commission {Recommendation on access to and preservation of scientific information	NA
de_santis_crossing_2019	book	De Santis, Annamaria and Rossi, Irene	Crossing {Experiences in {Digital {Epigraphy {From {Practice to {Discipline	NA
